shotnumber,date,time,sourceLat,sourceLon,shipLat,shipLon,waterDepth,sciTag
5176,2022-05-30,07:46:56.483016,16.537034,-101.192577,16.536054,-101.190698,4398.7,MGL22040055
5177,2022-05-30,07:48:56.828015,16.536036,-101.189971,16.535067,-101.188081,4387.8,MGL22040055
5178,2022-05-30,07:50:57.310011,16.535073,-101.187344,16.534098,-101.185455,4396.1,MGL22040055
5179,2022-05-30,07:53:00.535013,16.534095,-101.184722,16.53312,-101.182835,4408.9,MGL22040055
5180,2022-05-30,07:55:18.400014,16.533099,-101.182104,16.532145,-101.18021,4416.5,MGL22040055
5181,2022-05-30,07:57:33.626013,16.532182,-101.179457,16.5312,-101.177578,4418.9,MGL22040055
5182,2022-05-30,07:59:37.747012,16.531149,-101.176863,16.530161,-101.174983,4419.3,MGL22040055
5183,2022-05-30,08:01:43.599014,16.530145,-101.174255,16.529192,-101.172356,4411.7,MGL22040055
5184,2022-05-30,08:03:50.039011,16.529182,-101.171628,16.52825,-101.169719,4417.1,MGL22040055
5185,2022-05-30,08:05:51.035010,16.528161,-101.169033,16.527237,-101.167116,4435.4,MGL22040055
5186,2022-05-30,08:08:10.996010,16.527193,-101.166398,16.526283,-101.164482,4446.6,MGL22040055
5187,2022-05-30,08:10:17.267025,16.526188,-101.163793,16.525294,-101.161868,4437.3,MGL22040055
5188,2022-05-30,08:12:24.194015,16.525245,-101.161158,16.524342,-101.159234,4436.6,MGL22040055
5189,2022-05-30,08:14:27.879011,16.52426,-101.158541,16.523364,-101.156614,4413.2,MGL22040055
5190,2022-05-30,08:16:36.269010,16.523275,-101.155917,16.522377,-101.153996,4407.5,MGL22040055
5191,2022-05-30,08:18:41.920012,16.522293,-101.153304,16.521404,-101.151374,4408.8,MGL22040055
5192,2022-05-30,08:20:49.680013,16.521335,-101.150673,16.520449,-101.148746,4386.4,MGL22040055
5193,2022-05-30,08:23:00.409012,16.520371,-101.148042,16.51947,-101.146123,4389.0,MGL22040055
5194,2022-05-30,08:25:04.567015,16.519367,-101.14543,16.518469,-101.14351,4364.8,MGL22040055
5195,2022-05-30,08:27:10.181015,16.518401,-101.142811,16.517501,-101.140885,4359.6,MGL22040055
5196,2022-05-30,08:29:15.511010,16.517432,-101.140188,16.516536,-101.13826,4383.9,MGL22040055
5197,2022-05-30,08:31:32.422007,16.516475,-101.137552,16.515553,-101.135641,4389.4,MGL22040055
5198,2022-05-30,08:33:41.279012,16.515515,-101.134926,16.514595,-101.133012,4389.3,MGL22040055
5199,2022-05-30,08:35:48.485015,16.514507,-101.132318,16.51357,-101.130409,4386.5,MGL22040055
5200,2022-05-30,08:37:53.478016,16.513494,-101.129715,16.512608,-101.127784,4391.3,MGL22040055
5201,2022-05-30,08:40:01.570008,16.512543,-101.127083,16.511653,-101.125152,4380.2,MGL22040055
5202,2022-05-30,08:42:15.964019,16.511588,-101.124447,16.510676,-101.122532,4369.4,MGL22040055
5203,2022-05-30,08:44:27.330011,16.510534,-101.121859,16.509638,-101.119934,4359.0,MGL22040055
5204,2022-05-30,08:46:30.774011,16.509556,-101.119247,16.508716,-101.117292,4348.9,MGL22040055
5205,2022-05-30,08:48:39.494013,16.508597,-101.116613,16.507742,-101.114669,4328.4,MGL22040055
5206,2022-05-30,08:50:43.061010,16.507596,-101.114001,16.506733,-101.112062,4309.6,MGL22040055
5207,2022-05-30,08:52:41.481013,16.506594,-101.111395,16.505774,-101.109432,4273.5,MGL22040055
5208,2022-05-30,08:54:44.786011,16.505654,-101.108756,16.504827,-101.106799,4239.8,MGL22040055
5209,2022-05-30,08:56:47.153011,16.504672,-101.106139,16.50382,-101.104189,4227.9,MGL22040055
5210,2022-05-30,08:58:46.783011,16.503693,-101.103517,16.50286,-101.101561,4220.8,MGL22040055
5211,2022-05-30,09:00:56.604010,16.502718,-101.100893,16.501885,-101.098941,4236.5,MGL22040055
5212,2022-05-30,09:03:05.638015,16.501752,-101.098269,16.500915,-101.096317,4241.5,MGL22040055
5213,2022-05-30,09:05:12.647011,16.50075,-101.095657,16.499907,-101.093707,4240.1,MGL22040055
5214,2022-05-30,09:07:20.939015,16.499765,-101.09304,16.498945,-101.091082,4254.7,MGL22040055
5215,2022-05-30,09:09:34.002035,16.498805,-101.090414,16.497988,-101.088451,4238.7,MGL22040055
5216,2022-05-30,09:11:41.808011,16.497844,-101.087786,16.496994,-101.085835,4269.6,MGL22040055
5217,2022-05-30,09:13:47.211016,16.496848,-101.085178,16.495996,-101.083227,4304.0,MGL22040055
5218,2022-05-30,09:16:01.244031,16.495857,-101.082555,16.495033,-101.080596,4325.2,MGL22040055
5219,2022-05-30,09:18:13.204012,16.494924,-101.079921,16.49409,-101.077963,4326.5,MGL22040055
5220,2022-05-30,09:20:29.673013,16.493923,-101.077303,16.493057,-101.075363,4344.9,MGL22040055
5221,2022-05-30,09:22:44.025015,16.492934,-101.074689,16.492111,-101.072731,4346.2,MGL22040055
5222,2022-05-30,09:24:51.213022,16.491963,-101.072065,16.491136,-101.070111,4353.0,MGL22040055
5223,2022-05-30,09:27:08.559014,16.490982,-101.069445,16.490141,-101.067496,4353.7,MGL22040055
5224,2022-05-30,09:29:16.970013,16.49,-101.066834,16.489181,-101.064867,4360.4,MGL22040055
5225,2022-05-30,09:31:23.711039,16.489019,-101.064208,16.488186,-101.062254,4350.7,MGL22040055
5226,2022-05-30,09:33:29.400014,16.488054,-101.061587,16.487239,-101.059622,4351.4,MGL22040055
5227,2022-05-30,09:35:35.698011,16.487049,-101.058975,16.48622,-101.057017,4344.9,MGL22040055
5228,2022-05-30,09:37:41.929010,16.486079,-101.056353,16.485268,-101.054387,4343.5,MGL22040055
5229,2022-05-30,09:39:47.165012,16.485095,-101.053735,16.484272,-101.051773,4349.1,MGL22040055
